Epoch 1, Batch 1, Embryo AAL839-6, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\AAL839-6\D2013.09.12_S0900_I132_WELL6_RUN1.jpeg
Epoch 1, Batch 1, Embryo AAL839-6, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\AAL839-6\D2013.09.12_S0900_I132_WELL6_RUN1.jpeg
Epoch 1, Batch 1, Embryo AAL839-6, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\AAL839-6\D2013.09.12_S0900_I132_WELL6_RUN1.jpeg
Epoch 1, Batch 1, Embryo AAL839-6, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\AAL839-6\D2013.09.12_S0900_I132_WELL6_RUN1.jpeg
Epoch 1, Batch 1, Embryo AAL839-6, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\AAL839-6\D2013.09.12_S0900_I132_WELL6_RUN1.jpeg
Epoch 1, Batch 1, Embryo AAL839-6, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\AAL839-6\D2013.09.12_S0900_I132_WELL6_RUN1.jpeg
Epoch 1, Batch 1, Embryo AAL839-6, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\AAL839-6\D2013.09.12_S0900_I132_WELL6_RUN1.jpeg
Epoch 1, Batch 1, Embryo CK601-2, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\CK601-2\D2016.06.27_S0433_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo CK601-2, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\CK601-2\D2016.06.27_S0433_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo CK601-2, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\CK601-2\D2016.06.27_S0433_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo CK601-2, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\CK601-2\D2016.06.27_S0433_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo CK601-2, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\CK601-2\D2016.06.27_S0433_I647_WELL2_RUN1.jpeg
